problem_id,rules_text,reaction_state,option_A,option_B,option_C,option_D,answer
4310,"0. If NOT (sigma_density < 10), Alpha transformation is blocked.
1. If zeta_affinity > 3, Rule 0 is overridden.
2. If NOT (thermal_index > 16), Beta displacement dominates Gamma rearrangement.
3. If (sigma_density > 9 OR steric_factor > 0), Alpha transformation is blocked.
4. If ((zeta_affinity > 0 OR polarity < 0.084) OR NOT (sigma_density < 5)), Beta displacement is blocked.
5. If NOT (polarity > 0.649), Beta displacement is activated.
6. If exactly 3 mechanisms remain, eliminate Beta displacement.
7. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
8. If sigma_density > 6, Rule 1 is overridden.
9. If exactly 2 mechanisms remain, eliminate Beta displacement.
10. If sigma_density > 5, Beta displacement is activated.
11. If zeta_affinity > 6, Beta displacement dominates Alpha transformation.","sigma_density=4, steric_factor=4, polarity=0.542, thermal_index=91, zeta_affinity=2",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
4313,"0. If exactly 3 mechanisms remain, eliminate Delta elimination.
1. If zeta_affinity < 5, Gamma rearrangement dominates Delta elimination.
2. If NOT (thermal_index < 19), Alpha transformation dominates Beta displacement.
3. If (thermal_index < 61 AND polarity > 0.138), Beta displacement is activated.
4. If ((thermal_index > 55 OR steric_factor > 4) OR NOT (sigma_density > 2)), dominance between Gamma rearrangement and Alpha transformation is reversed.
5. If steric_factor < 2, dominance between Alpha transformation and Beta displacement is reversed.
6. If steric_factor > 1, Rule 2 is overridden.
7. If zeta_affinity > 6, Rule 2 is overridden.
8. If polarity < 0.061, dominance between Beta displacement and Alpha transformation is reversed.
9. If zeta_affinity < 1, Rule 2 is overridden.","sigma_density=7, steric_factor=0, polarity=0.857, thermal_index=92, zeta_affinity=4",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
4314,"0. If ((zeta_affinity < 0 OR zeta_affinity < 4) OR (NOT (sigma_density > 6) AND NOT (polarity < 0.425))), Beta displacement dominates Gamma rearrangement.
1. If sigma_density < 3, Beta displacement is activated.
2. If zeta_affinity < 4, dominance between Gamma rearrangement and Delta elimination is reversed.
3. If thermal_index < 85, dominance between Gamma rearrangement and Beta displacement is reversed.
4. If zeta_affinity < 2, Beta displacement is blocked.
5. If exactly 2 mechanisms remain, eliminate Alpha transformation.","sigma_density=9, steric_factor=4, polarity=0.874, thermal_index=2, zeta_affinity=0",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
4315,"0. If zeta_affinity > 0, Delta elimination is blocked.
1. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
2. If polarity < 0.152, Rule 1 is overridden.
3. If NOT (zeta_affinity > 3), dominance between Gamma rearrangement and Beta displacement is reversed.
4. If (thermal_index > 25 OR (thermal_index < 61 AND steric_factor > 0)), Beta displacement is blocked.
5. If sigma_density < 6, Beta displacement dominates Delta elimination.
6. If (NOT (sigma_density < 4) AND thermal_index < 31), Gamma rearrangement is blocked.","sigma_density=7, steric_factor=2, polarity=0.14, thermal_index=82, zeta_affinity=8",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
4318,"0. If thermal_index > 66, dominance between Alpha transformation and Beta displacement is reversed.
1. If (thermal_index > 85 AND sigma_density < 4), Beta displacement is blocked.
2. If NOT (polarity < 0.406), Delta elimination dominates Gamma rearrangement.
3. If polarity > 0.584, dominance between Delta elimination and Beta displacement is reversed.
4. If (polarity > 0.46 AND (thermal_index < 91 OR thermal_index > 15)), Delta elimination is activated.
5. If ((polarity < 0.029 OR zeta_affinity < 0) OR thermal_index > 25), Gamma rearrangement is blocked.
6. If sigma_density < 3, Rule 5 is overridden.
7. If sigma_density < 3, dominance between Alpha transformation and Delta elimination is reversed.","sigma_density=10, steric_factor=5, polarity=0.643, thermal_index=94, zeta_affinity=0",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
4320,"0. If (thermal_index > 77 OR (NOT (sigma_density < 4) AND NOT (thermal_index > 24))), Alpha transformation is activated.
1. If (polarity < 0.415 OR (thermal_index < 77 OR polarity < 0.606)), dominance between Delta elimination and Alpha transformation is reversed.
2. If (zeta_affinity < 5 OR (zeta_affinity > 3 AND NOT (polarity > 0.7))), Delta elimination dominates Gamma rearrangement.
3. If (NOT (sigma_density > 3) AND (NOT (sigma_density < 1) OR NOT (thermal_index > 42))), Alpha transformation is blocked.
4. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
5. If exactly 2 mechanisms remain, eliminate Beta displacement.
6. If ((NOT (sigma_density > 9) OR thermal_index < 64) OR (thermal_index > 85 OR steric_factor < 5)), Beta displacement dominates Delta elimination.
7. If ((zeta_affinity < 3 OR sigma_density > 2) OR thermal_index < 39), dominance between Gamma rearrangement and Delta elimination is reversed.
8. If exactly 3 mechanisms remain, eliminate Alpha transformation.
9. If exactly 3 mechanisms remain, eliminate Delta elimination.
10. If steric_factor < 0, Delta elimination is activated.
11. If steric_factor > 2, Alpha transformation is blocked.","sigma_density=5, steric_factor=1, polarity=0.9, thermal_index=77, zeta_affinity=1",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
4322,"0. If zeta_affinity < 7, Alpha transformation is activated.
1. If polarity > 0.665, dominance between Beta displacement and Delta elimination is reversed.
2. If thermal_index < 85, Beta displacement is blocked.
3. If ((zeta_affinity > 9 AND steric_factor < 4) AND NOT (steric_factor > 5)), Beta displacement is activated.
4. If exactly 3 mechanisms remain, eliminate Delta elimination.
5. If polarity < 0.897, Gamma rearrangement is blocked.
6. If (NOT (steric_factor > 2) OR steric_factor > 0), Delta elimination is blocked.
7. If (NOT (polarity > 0.751) AND (sigma_density > 9 AND thermal_index > 3)), Rule 2 is overridden.
8. If (polarity < 0.342 OR (thermal_index < 78 OR NOT (sigma_density < 7))), Gamma rearrangement dominates Delta elimination.
9. If ((zeta_affinity > 8 AND steric_factor < 3) AND (thermal_index > 20 AND NOT (zeta_affinity < 6))), Alpha transformation dominates Beta displacement.
10. If exactly 1 mechanisms remain, eliminate Beta displacement.
11. If steric_factor < 3, Rule 1 is overridden.","sigma_density=3, steric_factor=5, polarity=0.309, thermal_index=73, zeta_affinity=4",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
4323,"0. If exactly 2 mechanisms remain, eliminate Beta displacement.
1. If (sigma_density > 7 AND (NOT (polarity < 0.575) OR zeta_affinity < 7)), Alpha transformation is activated.
2. If ((NOT (zeta_affinity > 0) AND NOT (polarity > 0.528)) OR (NOT (zeta_affinity > 5) OR zeta_affinity < 1)), Alpha transformation is activated.
3. If polarity > 0.166, Gamma rearrangement dominates Alpha transformation.
4. If NOT (zeta_affinity < 4), Delta elimination is blocked.
5. If sigma_density > 0, dominance between Alpha transformation and Gamma rearrangement is reversed.
6. If exactly 3 mechanisms remain, eliminate Alpha transformation.
7. If exactly 3 mechanisms remain, eliminate Alpha transformation.","sigma_density=3, steric_factor=4, polarity=0.383, thermal_index=34, zeta_affinity=9",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
4324,"0. If zeta_affinity > 9, Beta displacement is blocked.
1. If ((thermal_index < 9 OR NOT (zeta_affinity > 5)) AND (steric_factor < 0 AND thermal_index < 98)), Alpha transformation is blocked.
2. If exactly 1 mechanisms remain, eliminate Gamma rearrangement.
3. If sigma_density > 6, Alpha transformation is blocked.
4. If sigma_density < 0, dominance between Gamma rearrangement and Beta displacement is reversed.
5. If (NOT (polarity < 0.519) OR polarity > 0.954), dominance between Gamma rearrangement and Alpha transformation is reversed.
6. If exactly 2 mechanisms remain, eliminate Alpha transformation.
7. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
8. If NOT (steric_factor > 0), Beta displacement dominates Alpha transformation.
9. If exactly 1 mechanisms remain, eliminate Alpha transformation.","sigma_density=10, steric_factor=2, polarity=0.866, thermal_index=38, zeta_affinity=10",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
4325,"0. If exactly 2 mechanisms remain, eliminate Beta displacement.
1. If sigma_density > 3, Alpha transformation dominates Beta displacement.
2. If exactly 2 mechanisms remain, eliminate Beta displacement.
3. If ((steric_factor < 0 OR polarity > 0.946) OR (thermal_index > 41 AND thermal_index > 44)), dominance between Beta displacement and Alpha transformation is reversed.
4. If ((polarity < 0.114 OR NOT (polarity < 0.854)) AND polarity > 0.328), Delta elimination dominates Beta displacement.
5. If thermal_index < 20, dominance between Alpha transformation and Gamma rearrangement is reversed.
6. If thermal_index < 28, dominance between Delta elimination and Gamma rearrangement is reversed.
7. If ((sigma_density < 2 AND NOT (steric_factor > 5)) AND (NOT (polarity > 0.232) OR polarity > 0.658)), Alpha transformation is activated.
8. If exactly 3 mechanisms remain, eliminate Delta elimination.
9. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
10. If (NOT (steric_factor < 5) OR sigma_density < 6), Rule 8 is overridden.
11. If ((thermal_index > 52 OR NOT (sigma_density > 5)) OR (NOT (thermal_index < 11) AND steric_factor > 0)), Beta displacement is blocked.","sigma_density=1, steric_factor=3, polarity=0.795, thermal_index=52, zeta_affinity=2",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
4327,"0. If NOT (sigma_density > 10), dominance between Delta elimination and Alpha transformation is reversed.
1. If (NOT (polarity < 0.612) AND sigma_density > 9), Delta elimination dominates Beta displacement.
2. If ((zeta_affinity < 10 AND NOT (steric_factor < 3)) OR (thermal_index < 63 OR zeta_affinity > 4)), Beta displacement dominates Delta elimination.
3. If ((steric_factor < 3 AND thermal_index < 61) AND (sigma_density > 8 AND zeta_affinity > 1)), Rule 2 is overridden.
4. If exactly 3 mechanisms remain, eliminate Alpha transformation.
5. If exactly 2 mechanisms remain, eliminate Beta displacement.","sigma_density=6, steric_factor=4, polarity=0.918, thermal_index=91, zeta_affinity=0",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
4328,"0. If (thermal_index < 53 AND (NOT (polarity < 0.992) OR NOT (zeta_affinity < 6))), Alpha transformation dominates Beta displacement.
1. If NOT (sigma_density < 2), Delta elimination dominates Alpha transformation.
2. If exactly 2 mechanisms remain, eliminate Delta elimination.
3. If steric_factor < 2, Rule 0 is overridden.
4. If ((zeta_affinity < 5 OR polarity > 0.606) AND steric_factor > 3), Gamma rearrangement is blocked.
5. If ((NOT (thermal_index < 71) AND NOT (thermal_index > 58)) AND NOT (steric_factor < 3)), dominance between Gamma rearrangement and Beta displacement is reversed.
6. If zeta_affinity < 1, Delta elimination is blocked.
7. If ((NOT (steric_factor > 5) AND polarity < 0.137) AND (sigma_density < 6 AND thermal_index > 5)), dominance between Beta displacement and Alpha transformation is reversed.
8. If thermal_index < 15, Beta displacement dominates Alpha transformation.
9. If sigma_density < 1, Alpha transformation dominates Delta elimination.
10. If ((sigma_density > 4 OR steric_factor > 4) AND steric_factor < 3), Gamma rearrangement dominates Beta displacement.
11. If steric_factor > 1, Delta elimination dominates Beta displacement.","sigma_density=9, steric_factor=3, polarity=0.254, thermal_index=23, zeta_affinity=9",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
4330,"0. If exactly 2 mechanisms remain, eliminate Alpha transformation.
1. If (sigma_density > 7 OR steric_factor < 3), Beta displacement is activated.
2. If polarity > 0.332, dominance between Delta elimination and Beta displacement is reversed.
3. If steric_factor > 0, Gamma rearrangement is activated.
4. If exactly 3 mechanisms remain, eliminate Beta displacement.
5. If exactly 3 mechanisms remain, eliminate Delta elimination.
6. If steric_factor > 2, Alpha transformation is activated.
7. If (NOT (zeta_affinity < 6) OR steric_factor > 3), dominance between Beta displacement and Gamma rearrangement is reversed.","sigma_density=9, steric_factor=5, polarity=0.008, thermal_index=52, zeta_affinity=0",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
4334,"0. If sigma_density > 4, Gamma rearrangement is activated.
1. If NOT (steric_factor > 0), dominance between Gamma rearrangement and Beta displacement is reversed.
2. If sigma_density < 9, Beta displacement dominates Alpha transformation.
3. If ((NOT (polarity < 0.746) OR polarity > 0.72) OR (thermal_index > 20 AND steric_factor < 4)), Gamma rearrangement is activated.
4. If zeta_affinity < 3, Rule 0 is overridden.
5. If (thermal_index > 9 OR (NOT (thermal_index < 61) AND steric_factor < 2)), dominance between Gamma rearrangement and Alpha transformation is reversed.
6. If exactly 2 mechanisms remain, eliminate Beta displacement.
7. If steric_factor > 2, dominance between Gamma rearrangement and Beta displacement is reversed.
8. If ((NOT (sigma_density > 4) OR NOT (polarity < 0.15)) AND NOT (zeta_affinity > 4)), Rule 7 is overridden.
9. If (NOT (zeta_affinity < 8) OR NOT (sigma_density > 6)), dominance between Delta elimination and Beta displacement is reversed.
10. If polarity < 0.258, Rule 4 is overridden.","sigma_density=0, steric_factor=0, polarity=0.483, thermal_index=44, zeta_affinity=2",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
4336,"0. If sigma_density > 2, dominance between Beta displacement and Alpha transformation is reversed.
1. If (steric_factor < 4 AND (sigma_density < 7 AND sigma_density < 0)), Beta displacement is blocked.
2. If exactly 1 mechanisms remain, eliminate Delta elimination.
3. If NOT (steric_factor < 2), dominance between Alpha transformation and Gamma rearrangement is reversed.
4. If (polarity > 0.145 AND (thermal_index > 64 AND NOT (zeta_affinity < 7))), Rule 1 is overridden.
5. If NOT (sigma_density < 7), dominance between Beta displacement and Delta elimination is reversed.
6. If ((thermal_index > 11 OR polarity > 0.809) AND steric_factor > 2), Gamma rearrangement dominates Delta elimination.
7. If zeta_affinity > 8, dominance between Alpha transformation and Delta elimination is reversed.
8. If ((polarity < 0.849 AND steric_factor > 0) OR (NOT (sigma_density < 4) AND thermal_index > 38)), Delta elimination dominates Beta displacement.
9. If sigma_density < 0, dominance between Gamma rearrangement and Beta displacement is reversed.","sigma_density=3, steric_factor=4, polarity=0.353, thermal_index=59, zeta_affinity=0",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
4337,"0. If sigma_density > 6, Delta elimination is blocked.
1. If (polarity < 0.316 OR steric_factor > 5), Beta displacement dominates Gamma rearrangement.
2. If ((zeta_affinity < 10 AND NOT (polarity > 0.591)) OR (polarity < 0.102 OR sigma_density > 4)), Delta elimination is activated.
3. If exactly 2 mechanisms remain, eliminate Beta displacement.
4. If steric_factor < 1, dominance between Beta displacement and Alpha transformation is reversed.
5. If (sigma_density < 6 OR zeta_affinity < 2), Rule 3 is overridden.
6. If thermal_index > 55, Beta displacement is blocked.
7. If (steric_factor > 0 OR thermal_index > 78), dominance between Gamma rearrangement and Alpha transformation is reversed.
8. If NOT (steric_factor < 3), Rule 3 is overridden.
9. If ((steric_factor > 1 OR polarity > 0.716) AND NOT (thermal_index < 60)), Delta elimination dominates Alpha transformation.","sigma_density=4, steric_factor=2, polarity=0.487, thermal_index=76, zeta_affinity=5",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
4338,"0. If steric_factor > 3, dominance between Delta elimination and Beta displacement is reversed.
1. If ((NOT (sigma_density < 5) AND sigma_density < 0) OR (sigma_density < 1 OR thermal_index > 12)), Alpha transformation dominates Gamma rearrangement.
2. If zeta_affinity > 5, Delta elimination is activated.
3. If sigma_density < 9, Alpha transformation dominates Gamma rearrangement.
4. If NOT (polarity > 0.99), Alpha transformation dominates Delta elimination.
5. If steric_factor < 4, Rule 0 is overridden.
6. If zeta_affinity < 8, dominance between Gamma rearrangement and Beta displacement is reversed.
7. If (thermal_index < 40 AND NOT (steric_factor > 0)), Beta displacement is blocked.
8. If ((polarity < 0.469 OR NOT (polarity < 0.292)) OR (NOT (sigma_density < 10) AND NOT (steric_factor < 4))), Delta elimination is blocked.
9. If exactly 2 mechanisms remain, eliminate Beta displacement.
10. If NOT (steric_factor < 5), Delta elimination is activated.","sigma_density=1, steric_factor=0, polarity=0.744, thermal_index=37, zeta_affinity=5",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
4340,"0. If exactly 1 mechanisms remain, eliminate Delta elimination.
1. If zeta_affinity < 8, Delta elimination is blocked.
2. If (polarity < 0.173 AND sigma_density > 1), dominance between Beta displacement and Alpha transformation is reversed.
3. If sigma_density < 7, Alpha transformation is activated.
4. If steric_factor < 4, Delta elimination dominates Alpha transformation.
5. If ((thermal_index > 64 AND NOT (thermal_index > 86)) OR (polarity > 0.612 AND polarity > 0.161)), Beta displacement dominates Gamma rearrangement.
6. If steric_factor > 1, Delta elimination is blocked.
7. If exactly 2 mechanisms remain, eliminate Alpha transformation.","sigma_density=0, steric_factor=0, polarity=0.001, thermal_index=65, zeta_affinity=4",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
4341,"0. If exactly 3 mechanisms remain, eliminate Delta elimination.
1. If NOT (polarity > 0.989), Delta elimination is activated.
2. If (zeta_affinity > 8 OR NOT (polarity > 0.148)), Beta displacement is blocked.
3. If ((zeta_affinity > 9 AND NOT (polarity < 0.414)) AND NOT (thermal_index > 33)), dominance between Beta displacement and Gamma rearrangement is reversed.
4. If exactly 2 mechanisms remain, eliminate Beta displacement.
5. If exactly 1 mechanisms remain, eliminate Delta elimination.
6. If exactly 2 mechanisms remain, eliminate Delta elimination.
7. If exactly 2 mechanisms remain, eliminate Alpha transformation.","sigma_density=7, steric_factor=5, polarity=0.332, thermal_index=41, zeta_affinity=10",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
4342,"0. If (zeta_affinity < 0 OR NOT (steric_factor > 0)), dominance between Delta elimination and Alpha transformation is reversed.
1. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
2. If (NOT (steric_factor < 0) AND polarity > 0.798), dominance between Gamma rearrangement and Beta displacement is reversed.
3. If ((polarity > 0.786 OR thermal_index > 0) OR NOT (thermal_index < 18)), Beta displacement dominates Delta elimination.
4. If thermal_index > 79, dominance between Delta elimination and Beta displacement is reversed.
5. If ((NOT (steric_factor > 3) AND zeta_affinity > 0) AND NOT (polarity > 0.816)), Beta displacement dominates Gamma rearrangement.
6. If sigma_density > 5, Delta elimination dominates Beta displacement.
7. If (NOT (thermal_index < 4) AND (zeta_affinity > 2 AND polarity < 0.34)), Alpha transformation is blocked.
8. If (NOT (steric_factor < 1) AND polarity > 0.221), dominance between Beta displacement and Delta elimination is reversed.
9. If ((zeta_affinity < 8 AND polarity > 0.781) AND steric_factor < 3), Delta elimination dominates Gamma rearrangement.
10. If sigma_density < 2, Gamma rearrangement is blocked.
11. If (sigma_density > 6 AND (thermal_index < 79 AND steric_factor < 2)), Rule 10 is overridden.","sigma_density=3, steric_factor=1, polarity=0.201, thermal_index=59, zeta_affinity=6",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
4343,"0. If ((zeta_affinity < 1 OR NOT (thermal_index > 65)) AND (thermal_index < 37 OR polarity < 0.858)), Delta elimination dominates Gamma rearrangement.
1. If NOT (sigma_density > 6), Delta elimination is activated.
2. If sigma_density < 9, Beta displacement is blocked.
3. If exactly 3 mechanisms remain, eliminate Alpha transformation.
4. If (sigma_density < 2 OR (polarity > 0.254 OR NOT (thermal_index < 50))), dominance between Beta displacement and Delta elimination is reversed.
5. If NOT (sigma_density < 6), Delta elimination is activated.
6. If NOT (polarity < 0.579), Rule 5 is overridden.
7. If sigma_density > 6, dominance between Delta elimination and Beta displacement is reversed.
8. If exactly 2 mechanisms remain, eliminate Delta elimination.
9. If exactly 2 mechanisms remain, eliminate Delta elimination.
10. If ((polarity < 0.665 OR NOT (steric_factor < 3)) AND thermal_index < 18), Delta elimination dominates Alpha transformation.","sigma_density=9, steric_factor=3, polarity=0.393, thermal_index=41, zeta_affinity=10",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
4345,"0. If NOT (zeta_affinity < 0), dominance between Beta displacement and Gamma rearrangement is reversed.
1. If zeta_affinity < 8, Alpha transformation is blocked.
2. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
3. If NOT (thermal_index > 59), Delta elimination dominates Beta displacement.
4. If exactly 2 mechanisms remain, eliminate Delta elimination.
5. If steric_factor > 0, Alpha transformation dominates Beta displacement.
6. If exactly 1 mechanisms remain, eliminate Alpha transformation.
7. If steric_factor < 0, dominance between Delta elimination and Beta displacement is reversed.
8. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
9. If ((zeta_affinity > 6 AND NOT (zeta_affinity < 7)) OR (sigma_density < 10 AND thermal_index > 56)), Alpha transformation is activated.
10. If (NOT (polarity > 0.757) AND zeta_affinity > 8), dominance between Delta elimination and Gamma rearrangement is reversed.","sigma_density=0, steric_factor=3, polarity=0.965, thermal_index=39, zeta_affinity=0",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,D
4346,"0. If (thermal_index < 16 AND steric_factor < 1), dominance between Alpha transformation and Gamma rearrangement is reversed.
1. If NOT (steric_factor > 2), Rule 0 is overridden.
2. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
3. If exactly 2 mechanisms remain, eliminate Beta displacement.
4. If ((NOT (polarity > 0.807) OR steric_factor < 2) AND (NOT (steric_factor > 3) OR steric_factor > 1)), Beta displacement dominates Delta elimination.
5. If thermal_index > 87, Rule 3 is overridden.
6. If (steric_factor < 5 AND (NOT (zeta_affinity < 2) AND polarity < 0.181)), Beta displacement is activated.
7. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.
8. If steric_factor > 5, dominance between Beta displacement and Delta elimination is reversed.","sigma_density=10, steric_factor=0, polarity=0.382, thermal_index=22, zeta_affinity=1",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
4347,"0. If ((thermal_index > 27 AND NOT (sigma_density > 2)) AND (NOT (zeta_affinity < 8) OR sigma_density < 1)), dominance between Beta displacement and Delta elimination is reversed.
1. If (NOT (sigma_density < 0) OR polarity > 0.169), Gamma rearrangement dominates Delta elimination.
2. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
3. If (thermal_index < 20 OR (NOT (polarity > 0.39) AND sigma_density > 2)), Gamma rearrangement dominates Beta displacement.
4. If ((NOT (zeta_affinity < 9) OR NOT (polarity < 1.0)) OR polarity < 0.408), dominance between Gamma rearrangement and Alpha transformation is reversed.
5. If (NOT (polarity < 0.176) AND NOT (polarity < 0.909)), Rule 0 is overridden.
6. If ((NOT (polarity > 0.143) AND polarity > 0.727) OR (zeta_affinity < 5 AND thermal_index > 14)), Gamma rearrangement dominates Delta elimination.
7. If thermal_index < 7, Delta elimination is blocked.","sigma_density=3, steric_factor=5, polarity=0.516, thermal_index=7, zeta_affinity=9",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
4348,"0. If ((steric_factor > 1 AND zeta_affinity < 1) AND (steric_factor > 1 AND steric_factor > 3)), Beta displacement dominates Gamma rearrangement.
1. If sigma_density < 4, Delta elimination dominates Alpha transformation.
2. If thermal_index < 83, dominance between Gamma rearrangement and Beta displacement is reversed.
3. If ((polarity > 0.183 OR NOT (polarity > 0.315)) OR zeta_affinity > 9), Alpha transformation dominates Beta displacement.
4. If ((thermal_index < 58 AND steric_factor < 3) OR (steric_factor < 5 AND thermal_index < 80)), Beta displacement is activated.
5. If exactly 2 mechanisms remain, eliminate Alpha transformation.
6. If (zeta_affinity < 10 OR steric_factor < 1), dominance between Beta displacement and Alpha transformation is reversed.
7. If ((NOT (steric_factor > 3) OR thermal_index > 84) AND (NOT (thermal_index > 53) OR thermal_index > 48)), Delta elimination is activated.
8. If thermal_index > 49, dominance between Delta elimination and Alpha transformation is reversed.
9. If exactly 1 mechanisms remain, eliminate Gamma rearrangement.
10. If ((NOT (thermal_index > 62) AND steric_factor < 2) OR thermal_index < 91), dominance between Gamma rearrangement and Alpha transformation is reversed.
11. If zeta_affinity < 7, Rule 1 is overridden.","sigma_density=8, steric_factor=1, polarity=0.973, thermal_index=90, zeta_affinity=0",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
4349,"0. If steric_factor > 5, Alpha transformation dominates Gamma rearrangement.
1. If (steric_factor > 2 AND (polarity < 0.96 AND steric_factor < 1)), dominance between Gamma rearrangement and Beta displacement is reversed.
2. If NOT (steric_factor < 2), dominance between Beta displacement and Alpha transformation is reversed.
3. If NOT (sigma_density < 10), Delta elimination is blocked.
4. If steric_factor > 1, dominance between Delta elimination and Alpha transformation is reversed.
5. If thermal_index > 28, Delta elimination dominates Alpha transformation.
6. If ((sigma_density < 5 AND NOT (steric_factor > 4)) OR (zeta_affinity > 7 OR sigma_density > 9)), Gamma rearrangement is activated.
7. If ((polarity < 0.593 AND steric_factor < 5) OR (zeta_affinity > 4 AND NOT (zeta_affinity > 10))), Rule 0 is overridden.
8. If ((polarity > 0.435 AND steric_factor > 2) AND steric_factor > 4), Delta elimination is activated.
9. If NOT (sigma_density > 2), Alpha transformation dominates Beta displacement.
10. If (zeta_affinity > 1 AND NOT (steric_factor > 2)), Gamma rearrangement is blocked.","sigma_density=2, steric_factor=2, polarity=0.485, thermal_index=67, zeta_affinity=9",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,A
4352,"0. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.
1. If exactly 1 mechanisms remain, eliminate Delta elimination.
2. If sigma_density < 10, dominance between Delta elimination and Beta displacement is reversed.
3. If exactly 2 mechanisms remain, eliminate Gamma rearrangement.
4. If (NOT (sigma_density < 2) OR (NOT (polarity < 0.224) AND zeta_affinity < 0)), Gamma rearrangement is blocked.
5. If NOT (steric_factor > 1), Rule 3 is overridden.
6. If exactly 3 mechanisms remain, eliminate Gamma rearrangement.
7. If (thermal_index < 14 OR (thermal_index > 90 OR NOT (polarity > 0.246))), dominance between Beta displacement and Delta elimination is reversed.
8. If (NOT (zeta_affinity < 8) AND (steric_factor < 2 AND steric_factor < 0)), dominance between Gamma rearrangement and Delta elimination is reversed.
9. If NOT (sigma_density < 9), Gamma rearrangement is activated.
10. If ((sigma_density > 1 OR sigma_density < 10) OR (zeta_affinity < 0 OR sigma_density > 1)), Alpha transformation is blocked.
11. If steric_factor < 3, Gamma rearrangement is blocked.","sigma_density=7, steric_factor=3, polarity=0.2, thermal_index=24, zeta_affinity=7",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,B
4353,"0. If NOT (zeta_affinity > 9), Gamma rearrangement is activated.
1. If ((polarity < 0.138 OR steric_factor < 1) OR (zeta_affinity > 3 AND zeta_affinity < 6)), Gamma rearrangement is blocked.
2. If exactly 2 mechanisms remain, eliminate Beta displacement.
3. If (steric_factor < 4 OR steric_factor > 1), Beta displacement dominates Delta elimination.
4. If ((steric_factor > 3 OR thermal_index > 39) AND (polarity > 0.099 AND polarity < 0.976)), dominance between Gamma rearrangement and Delta elimination is reversed.
5. If ((polarity < 0.313 AND NOT (thermal_index < 14)) OR (thermal_index < 63 OR sigma_density > 2)), Delta elimination is activated.
6. If NOT (thermal_index < 18), dominance between Delta elimination and Gamma rearrangement is reversed.
7. If (NOT (polarity > 0.292) AND (steric_factor > 5 OR NOT (polarity < 0.382))), dominance between Gamma rearrangement and Delta elimination is reversed.
8. If NOT (polarity < 0.042), dominance between Alpha transformation and Beta displacement is reversed.
9. If exactly 1 mechanisms remain, eliminate Alpha transformation.","sigma_density=6, steric_factor=1, polarity=0.197, thermal_index=91, zeta_affinity=3",Alpha transformation,Beta displacement,Gamma rearrangement,Delta elimination,C
